Bedriftsnavn;Adresse;Postnummer;Poststed;Godkjenninger;Organisasjonsnummer
Ivar Bråthen Mekaniske AS;Gubberudveien 132;2312;Ottestad;PABYGGER;979901925
TRESLAND BILSKADE AS;Gvarvvegen 60;3800;Bø i Telemark;"BILVERKSTED01, BILSKADE";982933544
SKOVGÅRD AS;JAKOBSLIVEGEN 2;7058;JAKOBSLI;HJUL;915995527
Støren Bilsenter AS;Svartøya 6;7290;STØREN;"BILVERKSTED01, KONTROLLORGAN01";996209008
Rolf Wee Transport AS avd. Påbygg ;Frakkagjerdvegen 127;5563;Frakkagjerd;PABYGGER;970998136
Bogstad Bilservice AS;Nordveien 100;1930;AURSKOG;"BILVERKSTED01, KONTROLLORGAN01";990868263
GJØVIK VULK DEKKSENTER AS;GJØVIK NÆRINGSSENTER;2807;HUNNDALEN;HJUL;959607508
Jørpeland Servicenter AS;Ryfylkevegen 953;4100;JØRPELAND;"BILVERKSTED01, KONTROLLORGAN01";947441302
Nord Salten Auto AS;Ulvsvåg;8276;Ulvsvåg;"BILVERKSTED01B, MOTORSYKKELOGMOPED, BILSKADE, KONTROLLORGAN01B";887018952
ROGNAN AUTO A/S;Preben von Ahnensvei 4;8250;Rognan;"BILVERKSTED01, MOTORSYKKELOGMOPED, KONTROLLORGAN01";933967557
KVAVIK DEKK & REP AS;Åneveien 7;4580;LYNGDAL;"BILVERKSTED01, KONTROLLORGAN01";818673582
"DEKKTEAM AS, avd. Årnes";Leirvegen 18;2150;ÅRNES;HJUL;870897332
SUNNDAL BILSERVICE AS;HOVSVEGEN 19;6600;SUNNDALSØRA;HJUL;985574731
NAF Senter Larvik;Torsvang 4;3271;LARVIK;KONTROLLORGAN01;987372540
Sunnhordland Bil  AS;Vabakkjen 8;5411;STORD;"BILVERKSTED01B, KONTROLLORGAN01B";981136098
Autocenteret Fjeldstad A/S;Hvittingfossveien 25;3080;HOLMESTRAND;"BILVERKSTED01, KONTROLLORGAN01";830614222
Tønsberg Autoservice AS;Kilengaten 20;3117;TØNSBERG;"KONTROLLORGAN01B, BILVERKSTED01B";995113562
Auto Teknikk Kolbotn AS;Sam Eydesvei 5b;1412;SOFIEMYR;"BILVERKSTED01B, KONTROLLORGAN01B";988669954
"NETTBUSS AS, avd. Bjørkelangen";Stasjonsveien 18;1940;BJØRKELANGEN;"BILVERKSTEDALLE, FARTSSKRIVER, KONTROLLORGAN04";976948394
Jessheim Bilskade AS;Asfaltvegen 3;2050;Jessheim;BILSKADE;989893475
Currus Bilverksted AS;Sivesindvegen 14;2827;HUNNDALEN;BILVERKSTED01;918738835
Bø Bil og Karosseri AS;Rotebergvegen 11;3800;Bø i Telemark;"BILVERKSTED01, KONTROLLORGAN01, KONTROLLORGAN01B, BILVERKSTED01B";988526991
RYDS BILGLASS AS;Bratsbergveien 11-13;7037;TRONDHEIM;BILGLASS;913387783
Vianor avdeling Mo i Rana;Mellomveien 44;8622;MO I RANA;HJUL;935429447
Kløfta Bilservice AS;Myrvangvegen 12;2040;KLØFTA;"BILVERKSTED01, KONTROLLORGAN01";995556200
Iveco Norge A/S;Holmaveien  50;1339;VØYENENGA;"FARTSSKRIVER, BILVERKSTEDALLE, KONTROLLORGAN04";934621328
BRENNE DEKK AS;GRÅMYRA;7608;LEVANGER;HJUL;999603556
Nidarvoll Bil AS;Magnus Lagabøters veg 4;7047;TRONDHEIM;BILVERKSTED01;971221836
MITT DEKKHOTELL ØKERN AS;Østre Aker vei 24B;0581;OSLO;HJUL;997851781
AUTO SAVE SERVICE AS;RÅBEKKSVINGEN 3;1617;FREDRIKSTAD;"BILVERKSTED01, KONTROLLORGAN01";917835675
Petrotank A/S;"Møllebakken 4, Kambo";1538;Moss;PABYGGER;983880665
ÅS GLASSMESTERFORRETNING AS;JOHAN k. SKANCKESV 2;1430;ÅS;BILGLASS;975962121
LØNSETHAGEN ELEKTRO - DIESEL AS;Gammelseterlia 4;6422;Molde;"BILVERKSTED01B, BILELEKTRODRIVSTOFFANLEGG";979463448
Birger N. Haug avd. Ski/Follo;Haugenveien 3;1400;SKI;"BILVERKSTED01, KONTROLLORGAN01";952335863
Solaris Norge AS;Leiraveien 12;2000;LILLESTRØM;"BILVERKSTED03, KONTROLLORGAN03";889573732
FANA BILVERKSTED A/S;Fanavegen 15;5221;NESTTUN;"BILVERKSTED01, KONTROLLORGAN01";951835285
Bilcentrum AS;Leangen alle 6;7044;TRONDHEIM;"BILVERKSTED01B, KONTROLLORGAN01B";836883772
H-GLASS AS ;HVITTINGFOSSVEIEN 153;3086;HOLMESTRAND;BILGLASS;947530402
Tide Verksted AS avd. Straume;Straumsfjellsvegen 2;5353;STRAUME;"FARTSSKRIVER, BILVERKSTED01, BILVERKSTED02, BILVERKSTED03, KONTROLLORGAN04";985538220
CARAVAN OG BILPLEIE AS;Løding;8050;TVERLANDET;HJUL;986568336
OPUS AS;Steinavegen 10;6803;FØRDE;"BILVERKSTED01, KONTROLLORGAN01, KONTROLLORGAN01B, BILVERKSTED01B";943378649
"Møller Bil Jessheim AS avd SKODA, AUDI og Nyttekjøretøy";Energiveien 1;2069;JESSHEIM;"BILVERKSTED01B, BILSKADE, KONTROLLORGAN01B";964995923
ASBJØRN BERG & CO ÅLESUND;Moloveien 18;6004;Ålesund;BILVERKSTED01;955581229
H-MEK AS;Haukanesvegen 91;5652;ÅRLAND;TRAKTOR;918976639
HØYBRÅTEN GLASSERVICE AS;PROF BIRKELANDSV 27 A;1081;OSLO;BILGLASS;962283667
Karmsund Sveis & Påbygg A/S;Bønesvegen 70;4260;TORVASTAD;PABYGGER;972406104
Orstad Bilverksted AS;Orstadveien 128 B;4353;KLEPP STASJON;"BILVERKSTED01B, MOTORSYKKELOGMOPED, KONTROLLORGAN01B";991814574
Bertel O. Steen Kristiansand AS;Mjåvannsveien 169;4628;KRISTIANSAND S;"FARTSSKRIVER, BILVERKSTEDALLE, KONTROLLORGAN04";913206150
Larsen Bil AS;Lundeveien 56;4900;Tvedestrand;"BILVERKSTED01, KONTROLLORGAN01";957013066
Mobile Kokstad AS;Kokstadveien 22- 24;5257;KOKSTAD;"BILVERKSTED01, KONTROLLORGAN01";952574329
Gundersen Bilservice AS;Industriveien 11;3430;SPIKKESTAD;"BILSKADE, BILGLASS";997764838
Romerike Auto AS;Hvamveien 4;2013;STRØMMEN;"BILVERKSTED01B, KONTROLLORGAN01B";989865218
CARGLASS AS avd. Ski;Teglveien 16;1400;SKI;BILGLASS;985758220
Bertel O. Steen Telemark AS;Bedriftsvegen 120;3735;SKIEN;"FARTSSKRIVER, BILVERKSTEDALLE, KONTROLLORGAN04, BILVERKSTED01, KONTROLLORGAN01";928140903
Etac Bil AS;Mjåvannsveien 30;4628;KRISTIANSAND S;PABYGGER;999065465
VIANOR AS Bryne;VARDHEIVEIEN 50;4340;BRYNE;HJUL;935429447
Lyngseidet Bilverksted AS;Skoleveien 1;9060;Lyngseidet;"BILVERKSTED01, KONTROLLORGAN01";958755287
RIIS MONTASJE AS;Verkstedveien 11;6517;KRISTIANSUND N;BILGLASS;921979436
SARPSBORG BILSENTER A/S;Engsmyrveien 25;1739;BORGENHAUGEN;"BILVERKSTED01B, KONTROLLORGAN01";965491058
AUTO TYNSET A/S;Risegga;2500;Tynset;"BILVERKSTED01B, KONTROLLORGAN01B";971587407
Økotech AS;Moøya;7290;STØREN;TRAKTOR;998573416
Berglund Bilelektro AS;Laukhellaveien 314;9303;Silsand;"BILVERKSTED01B, KONTROLLORGAN01B";984630573
Storgaten Bilskade A/S;Kvernberggt. 17 ;3510;Hønefoss;BILSKADE;986461566
Eina Auto;Eina;2843;EINA;BILVERKSTED01;974421925
Voss Auto og Servicesenter AS;Strandavegen 500;5710;SKULESTADMO;"BILVERKSTED01, KONTROLLORGAN01";977168082
RIIS MONTASJE AS;Raglamyrvegen 17A;5536;HAUGESUND;BILGLASS;921979436
Toyota Sulland Gjøvik AS;Autoveien 3;2807;HUNNDALEN;"BILVERKSTED01, KONTROLLORGAN01";957631312
Hengsrød Smie Buskerud A/S;Sarragata 61;3320;<Vestfossen;PABYGGER;985513961
LEPSØE AS;INDUSTRIVEIEN 5;2020;SKEDSMOKORSET;HJUL;918848118
Autofix Moss AS;Vålerveien 159;1599;MOSS;"BILVERKSTED01, KONTROLLORGAN01";912782735
Sven Aas Elektro-Diesel A/S;Bregneveien 2 E;2007;KJELLER;"BILVERKSTED01, KONTROLLORGAN01";917583242
ROMERIKE AUTOSERVICE AS;VOGNVEGEN 23;2072;DAL;BILVERKSTED01;916847211
Arne Møllerstuen;Voldsbruveien 142;2651;ØSTRE GAUSDAL;BILVERKSTED01;983040942
Åmot Bil A/S;Industrigata 15;4480;Kvinesdal;"BILVERKSTED01, KONTROLLORGAN01";958474490
Harila AS avd. Hammerfest;Seilmakerveien 1;9600;HAMMERFEST;"BILVERKSTED01, KONTROLLORGAN01";917630747
Rydning Bilteam Silsand AS;Laukhellaveien 96;9303;SILSAND;"BILVERKSTED01B, HJULUTRUSTNING, KONTROLLORGAN01B";977259010
Bergheim Auto-Salg Oslo A/S;Ensjøveien 4;0655;OSLO;"BILVERKSTED01B, KONTROLLORGAN01B";979281471
Nye OP Fure AS;Sivert Nilsens gate 80;8041;BODØ;"BILVERKSTED01B, KONTROLLORGAN01B";994151088
Techline Bilelektro Klevengen;Fjellhammerveien 1;2743;HARESTUA;"BILELEKTRODRIVSTOFFANLEGG, BILGLASS";984738919
LOMUNDAL TRANSPORT AS;Industriveien 16;7200;KYRKSÆTERØRA;"BILVERKSTEDALLE, KONTROLLORGAN04";955655001
Snap Drive AS avd. Majorstua;Sørkedalsveien 10 B;0369;OSLO;"BILVERKSTED01, KONTROLLORGAN01";971585188
Norsk Scania AS avd. Hamar;Engomsvingen 28;2323;INGEBERG;"FARTSSKRIVER, BILVERKSTEDALLE, BILSKADE, PABYGGER, KONTROLLORGAN03";879263662
Personbil & Varebilservice DA;Vaterlandsveien 35;3470;SLEMMESTAD;"BILVERKSTED01, KONTROLLORGAN01";982236649
Mekonomen AS avd. Harstad;KLUBBHOLMEN 6B;9409;HARSTAD;HJUL;980748669
Trucknor Setesdal AS;Bjuråveien 72;4735;EVJE;"FARTSSKRIVER, BILVERKSTEDALLE, TRAKTOR, KONTROLLORGAN04";896619772
Bilhuset Førde AS;Øyrane 6;6803;FØRDE;"BILVERKSTED01B, KONTROLLORGAN01B";994271725
DEKK OG DELER AS avd. Sotra;Trollhaugmyra 10;5353;STRAUME;HJUL;996430022
Bilen Din A/S;Linnegrøvane 18;4640;SØGNE;"BILVERKSTED01, KONTROLLORGAN01";874403482
MOLAND AUTO AS;Molandsmoen;3870;Fyresdal;"BILVERKSTED01, KONTROLLORGAN01";957152872
Stabell Auto AS;Folkevangveien 22 ;1348;Rykkinn;"BILVERKSTED01, KONTROLLORGAN01";836886232
FELLESKJØPET AGRI SA avd. Kongsvinger;Østre Solørveg 124;2211;KONGSVINGER;TRAKTOR;911608103
FINSVEEN MASKIN AS;Televegen 8;3802;BØ I TELEMARK;HJUL;882702472
Haaland Mek;Tregdeveien 45;4516;MANDAL;BILVERKSTED01;997264614
Motorsyklisten AS;Svartadalen 1;5412;STORD;MOTORSYKKELOGMOPED;933458032
Møller Bil Asker og Bærum;Billingstadsletta 2;1396;BILLINGSTAD;"BILVERKSTED01, KONTROLLORGAN01";928481638
AUTORIA SKI AS;Nygårdsveien  67;1400;SKI;"BILVERKSTED01, KONTROLLORGAN01";968284916
Bilplaneten AS avd. Nesbyen; Ål;3540;NESBYEN;"BILVERKSTED01, KONTROLLORGAN01";943839689
TruckNor Kristiansand AS;Mjåvannsveien 3;4628;Kristtiansand;"FARTSSKRIVER, KONTROLLORGAN04, BILVERKSTEDALLE";980810208
Vågsbygd Karosseri Gunnar Engeland ;Bråvannskleiva 2 A;4624;KR.SAND;BILSKADE;983772420
Speed Motorcenter AS;Skolmar 30;3232;SANDEFJORD;MOTORSYKKELOGMOPED;928949214
SVENDSEN BILVERKSTED FRANK ARILD HINDERAKER-SVENDSEN;POSTVEGEN 52;4280;SKUDENESHAVN;"KONTROLLORGAN01B, BILVERKSTED01";921366914
KS Bil og Karosseri AS;Strandgata 51;8400;SORTLAND;"BILSKADE, BILVERKSTED01";998941881
HARSTAD DEKKSENTER AS;STANGNESTERMINALEN 13;9409;HARSTAD;HJUL;912068587
Karosseri Spesialisten A/S;Østre Aker vei 243;0976;OSLO;BILSKADE;880395602
MC- Huset Nydal AS;Nydal 2;2320;Furnes;MOTORSYKKELOGMOPED;963333641
HEGGHOLMEN BIL AS;ALVØYVEGEN 23;5336;TJELDSTØ;"KONTROLLORGAN01, BILVERKSTED01";921440650
Norsk Scania AS avd. Råde;Sarpsborgveien 119;1640;Råde;"FARTSSKRIVER, BILVERKSTEDALLE, KONTROLLORGAN03";879263662
Aasen Bil AS;Industrifeltet;2092;MINNESUND;"BILVERKSTED01B, BILSKADE, KONTROLLORGAN01B";957129188
Auto Teknikk A/S;Dalaneveien 55;4618;KR.SAND;"KONTROLLORGAN01B, BILVERKSTED01B";995905833
RØROS LAST OG BUSS AS;TOLLEF BREDALS VEI 6;7374;RØROS;"KONTROLLORGAN04, BILVERKSTEDALLE, FARTSSKRIVER";917015511
EIDSVOLL BIL OG FRITID HEIDI ØSTLI MARTINSEN;Botshaugtangen 44;2080;EIDSVOLL;HJUL;983587879
AKERSHUS BILVERKSTED AS;VESTVOLLVEIEN 28C;2019;SKEDSMOKORSET;"BILVERKSTED01, KONTROLLORGAN01";914312825
Volmax AS;Gjerluvegen 2 ;2320;FURNES;BILVERKSTED03;984674104
Gumpen Auto Vest AS;SETESDALSVEGEN 90;4617;KRISTIANSAND S;"KONTROLLORGAN01B, BILVERKSTED01B";945001305
LUNDFJORD BILVERKSTED;Stokksundveien 1010;7177;Revsnes;BILVERKSTED01;833533282
BJØRDAL BIL A/S;Langemyra 4;6160;HOVDEBYGDA;"BILVERKSTED01, KONTROLLORGAN01";935614686
MOSS AUTOSERVICE AS;Kongensgate 27;1530;MOSS;"KONTROLLORGAN01, BILVERKSTED01";918358412
Scan Parts AS;Ingvald Ystgaards vei 13B;7047;TRONDHEIM;"BILVERKSTED01, KONTROLLORGAN01";982730694
LEKSVIK BILVERKSTED AS;"Liafossvegen, Ytterelva Industriområde";7120;Leksvik;"BILVERKSTED01, KONTROLLORGAN01";944896511
Evje Bil AS;Verksmoen.;4735;EVJE;"BILVERKSTED01, KONTROLLORGAN01";998573661
NORDFJORD BILSENTER AS;TAKLO;6770;NORDFJORDEID;"BILVERKSTED01, KONTROLLORGAN01, BILVERKSTED01B, KONTROLLORGAN01B";963034334
HODDØ GLASSERVICE AS;RØRVIKVANNET 7;9610;RYPEFJORD;BILGLASS;999232930
Sand Bilverksted;Udduveien 22;7100;RISSA;"BILVERKSTED01, KONTROLLORGAN01";969998122
ATR Autoservice AS;Litleåsvegen 2;5132;NYBORG;"BILVERKSTED01, KONTROLLORGAN01";991036547
CARGLASS AS;C J Hansensvei 3 B;2007;KJELLER;BILGLASS;985758220
EIDSVÅG BILSERVICE ALTIN ALTIN GOLLOSHI;EIDSVÅGVEIEN 134;5105;EIDSVÅG I ÅSANE;HJUL;920138756
Autoskade Bærum AS;Lommedalsveien 281;1350;Lommedalen;BILSKADE;987778318
BØ GLASS AS;STASJONSVEGEN 31C;3800;BØ I TELEMARK;BILGLASS;913565126
NETTBUSS AS avd. Notodden;Sauheradveien 93;3683;NOTODDEN;BILVERKSTEDALLE;976948394
ØYA BIL AS;Skansen 10;2670;OTTA;"BILVERKSTED01B, BILVERKSTED02, KONTROLLORGAN01B, MOTORSYKKELOGMOPED, KONTROLLORGAN02";976933184
Trondsen Auto AS;Håndverkerveien 4B;9018;Tromsø;"BILVERKSTED01B, KONTROLLORGAN01B";925163600
Indlandet Automobilverksted AS avd. Finnsnes;"Industriveien 4, Botnhågen";9300;Finnsnes;"BILVERKSTED01, KONTROLLORGAN01";985854513
RIIS MONTASJE AS avd 803 Sandvika;Engervannsveien 23;1337;SANDVIKA;BILGLASS;921979436
ÅRDAL BILSERVICE AS;TANGEVEGEN 20;6885;ÅRDALSTANGEN;"BILVERKSTED01, KONTROLLORGAN01";918001514
Otto Moe AS avd Rørvik;Betzy Bergsgt. 2;7900;Rørvik;"BILVERKSTED01B, KONTROLLORGAN01B";916125844
BJUGN BILSERVICE AS;Lyngrabben 5;7160;BJUGN;"BILVERKSTED01, KONTROLLORGAN01";916727941
Chr. Repstad`s Sønner A/S;Arendalsveien 74;4878;Grimstad;"BILVERKSTED01, BILSKADE, KONTROLLORGAN01";933852407
Biltrend Vesterålen AS;Vesterålsgata 144;8403;SORTLAND;"BILVERKSTED01, KONTROLLORGAN01";985527474
Tønsberg Auto A/S;Døvlev. 37;3170;Tønsberg;"BILVERKSTED01B, KONTROLLORGAN01B";982283035
GRANDAHL VERKSTED AS;LILLETUNEVEIEN 6B;1711;SARPSBORG;"BILVERKSTED01, KONTROLLORGAN01";919656999
TRONDHEIM MARINE AS;NYVEILIA 52;7072;HEIMDAL;HJUL;998156971
BILHJELP TRONDHEIM AS;Terminalen 1;7080;HEIMDAL;"HENGERESPALOPSBREMSEANLEGG, LYSUTSTYR, HJUL";875368672
TRAKTORSERVICE AS;HUSØYNVEGEN 11;3550;GOL;TRAKTOR;955487222
KONGSVINGER AUTO AS;KONGEVEGEN 101;2211;KONGSVINGER;"BILVERKSTED01, BILSKADE, KONTROLLORGAN01";915086268
KROGHS BILSALG AS;Bedriftsveien 6;0950;OSLO;BILVERKSTED01;934276043
INTERCAR AS;Andersrudveien 1;1914;YTRE ENEBAKK;BILVERKSTED01;919568798
Børge Olsen Racing A/S;Juvik;5300;Kleppestø;"BILVERKSTED01, BILSKADE, KONTROLLORGAN01";983606164
Stranda Mekaniske AS;Storøya;7200;KYRKSÆTERØRA;"BILVERKSTED01B, KONTROLLORGAN01B";911679663
MDESIGN AS;Gunnar Bergs vei 28;8300;SVOLVÆR;HJUL;913857461
Stølen Autorep;Nygårdsvik;6475;Midsund;"BILVERKSTED01B, KONTROLLORGAN01B";983893813
Tores Auto Åsane  AS;Liamyrane 2;5132;NYBORG;"BILVERKSTED01, KONTROLLORGAN01";991511598
Sveen Bil AS;Sørumsandvegen 102;1920;SØRUMSAND;BILVERKSTED01;971649593
JENSENS BIL-SERVICE;ING. RYBERGSGT. 104;3027;DRAMMEN;"BILVERKSTED01, KONTROLLORGAN01";982831245
Lindesnes Auto AS;Sør Audnedal Hestehagen;4520;Vigeland;"BILVERKSTED01, BILSKADE, KONTROLLORGAN01";980104141
GAUPNE BIL & OPPRETTING AS;GAUPNE;6868;GAUPNE;"BILVERKSTED01, BILSKADE, KONTROLLORGAN01";968267299
RSA Bil Forus;Porsmyrveien 3 ;4314;SANDNES;"BILVERKSTED01B, KONTROLLORGAN01B";915518389
Sulland Tromsø AS avd. Bardufoss;Industriveien 11;9325;Bardufoss;"BILVERKSTED01, KONTROLLORGAN01";860152002
Finnås Auto AS;Kanalveien 1;5437;FINNÅS;"BILVERKSTED01, KONTROLLORGAN01";978653367
HELL CARSERVICE AS;ØYVEGEN 12;7517;HELL;"BILVERKSTED01B, KONTROLLORGAN01B";920132316
Harestua Bil AS;Hadelandsveien 902;2743;HARESTUA;"BILSKADE, BILVERKSTED01";998828309
Berland Bilverksted AS;Bedriftsvegen 12;4353;Klepp Stasjon;"BILVERKSTED01, KONTROLLORGAN01";920714900
BCB Bil og Deler AS;Strandvegen 16;2380;BRUMUNDDAL;"BILVERKSTED01B, MOTORSYKKELOGMOPED, BILSKADE, KONTROLLORGAN01B";974535629
NAF Senteret Bodø  ;Gamle Riksvei 2;8008;Bodø;KONTROLLORGAN01;987372540
HANSENS BILVEKSTED avd Mosjøen;Brugata 10;8658;Mosjøen;"BILVERKSTED01, KONTROLLORGAN01";980799530
Nordic Last & Buss AS avd. Tromsø;Terminalgata 176;9019;Tromsø;"FARTSSKRIVER, BILVERKSTED01, BILVERKSTED02, BILVERKSTED03, TRAKTOR, KONTROLLORGAN04";979463332
HAMMER MEKANISKE;Høgsetvegen 41;7353;BØRSA;HENGERESPALOPSBREMSEANLEGG;913271971
E S BILLAKK AS;JÆRVEGEN 169;4344;BRYNE;BILSKADE;994080407
DEKK1 AS;Osloveien 14/16;3511;HØNEFOSS;"HJUL, HENGERESPALOPSBREMSEANLEGG";979579292
Lars Bråten Bil;Kroken;8690;HATTFJELLDAL;"BILVERKSTED01, KONTROLLORGAN01";986985980
Hog Parts AS;Sluppenveien 11;7037;TRONDHEIM;MOTORSYKKELOGMOPED;956741017
Jorkjen MC AS.;Bedriftsveien 14;4841;ARENDAL;MOTORSYKKELOGMOPED;999100899
Stabekk Biloppretting S. Martinsen;Gaml. Drammensveien 20;1369;STABEKK;BILSKADE;969956659
"Namdal Bilskade AS, avd. Rørvik";Høgda;7900;RØRVIK;BILSKADE;989823388
Toyota Slettum Bil AS avd. Mekonomen Os;Brutippen 3;2550;OS I ØSTERDALEN;"BILVERKSTED01, KONTROLLORGAN01";995153343
MB-SERVICE AS;Nesttunvegen 14;5232;PARADIS;"BILVERKSTED01, KONTROLLORGAN01";976682688
Elite Bil AS;Storgata 79;2830;RAUFOSS;"BILVERKSTED01, KONTROLLORGAN01";991977031
WILMANN MEK OG SERVICE;SKJØRA;7180;ROAN;HJUL;998810396
